lat,lon,alt,x,y
32.86955,-117.220461,93.4,-2452853.6199403796,-4768547.522777084
32.869551,-117.220461,93.4,-2452853.5924082645,-4768547.469252408
32.869551,-117.220461,93.4,-2452853.5924082645,-4768547.469252408
32.86955,-117.220461,93.3,-2452853.5815216643,-4768547.448087968
32.86955,-117.220461,93.3,-2452853.5815216643,-4768547.448087968
32.86955,-117.22046,93.4,-2452853.536713524,-4768547.565587455
32.869549,-117.220457,93.3,-2452853.276146352,-4768547.672854116
32.869547,-117.220457,93.3,-2452853.331210567,-4768547.779903461
32.869545,-117.220456,93.3,-2452853.3030479206,-4768547.929763167
32.869543,-117.220456,93.3,-2452853.358112128,-4768548.036812502
32.869541,-117.220456,93.3,-2452853.4131763335,-4768548.143861831
32.869539,-117.220456,93.3,-2452853.4682405344,-4768548.250911154
32.869538,-117.220457,93.3,-2452853.5789995017,-4768548.261625445
32.869536,-117.220457,93.4,-2452853.672482416,-4768548.443363887
32.869535,-117.220457,93.5,-2452853.7384332307,-4768548.571577673
32.869535,-117.220458,93.5,-2452853.8216601037,-4768548.528767299
32.869533000000004,-117.220459,93.6,-2452853.9983698973,-4768548.667695357
32.869572,-117.220493,98.2,-2452857.5215918534,-4768548.560377184
32.869571,-117.220493,98.2,-2452857.5491240337,-4768548.613901914
32.869571,-117.220492,98.2,-2452857.465897159,-4768548.656712354
32.86957,-117.220492,98.2,-2452857.493429338,-4768548.710237085
32.869567,-117.22048999999998,98.2,-2452857.409572111,-4768548.956432145
32.869567,-117.220489,98.3,-2452857.3647639756,-4768549.073931662
32.869565,-117.220489,98.3,-2452857.4198283213,-4768549.180981114
32.869564000000004,-117.220489,98.3,-2452857.447360493,-4768549.234505837
32.869561,-117.220488,98.3,-2452857.446730116,-4768549.437890438
32.86956,-117.220487,98.3,-2452857.3910353933,-4768549.534225593
32.869558000000005,-117.220486,98.3,-2452857.3628728325,-4768549.684085465
32.869555,-117.220485,98.3,-2452857.3622424253,-4768549.887470043
32.869554,-117.220485,98.2,-2452857.3513558423,-4768549.866305659
32.869553,-117.220485,98.2,-2452857.3788880007,-4768549.919830366
32.869552,-117.220485,98.2,-2452857.4064201596,-4768549.9733550735
32.869552,-117.220485,98.2,-2452857.4064201596,-4768549.9733550735
32.869551,-117.220485,98.2,-2452857.4339523176,-4768550.026879779
32.869551,-117.220485,98.2,-2452857.4339523176,-4768550.026879779
32.869551,-117.220485,98.2,-2452857.4339523176,-4768550.026879779
32.869551,-117.220485,98.2,-2452857.4339523176,-4768550.026879779
32.869551,-117.220484,98.3,-2452857.389144162,-4768550.144379315
32.86955,-117.220482,98.3,-2452857.250222516,-4768550.283524893
32.869549,-117.220481,98.3,-2452857.1945277653,-4768550.379860033
32.869547999999995,-117.220479,98.3,-2452857.055606104,-4768550.519005603
32.869547,-117.220478,98.4,-2452857.0383300832,-4768550.690029846
32.869546,-117.220477,98.4,-2452856.982635322,-4768550.786364979
32.869545,-117.220473,98.4,-2452856.6772598107,-4768551.011131394
32.869541,-117.220468,98.3,-2452856.3328350415,-4768551.364593196
32.86954,-117.220466,98.3,-2452856.1939133275,-4768551.50373873
32.869539,-117.220463,98.3,-2452855.9717646814,-4768551.685694673
32.869538,-117.220462,98.3,-2452855.916069881,-4768551.782029784
32.869538,-117.220462,98.2,-2452855.87765116,-4768551.7073406605
32.869539,-117.22046,98.2,-2452855.683665177,-4768551.739436781
32.86954,-117.22046,98.2,-2452855.6561330515,-4768551.685912081
32.86954,-117.220459,98.2,-2452855.572906126,-4768551.728722487
32.869541,-117.220458,98.2,-2452855.46214707,-4768551.71800819
32.869542,-117.220458,98.2,-2452855.4346149447,-4768551.664483486
32.869542,-117.220456,98.2,-2452855.2681610906,-4768551.7501042895
32.869544,-117.220454,98.2,-2452855.046642986,-4768551.728675671
32.869545,-117.220452,98.2,-2452854.852657006,-4768551.760771751
32.869546,-117.220452,98.2,-2452854.8251248836,-4768551.707247038
32.869546,-117.220451,98.2,-2452854.741897955,-4768551.750057431
32.869546,-117.220451,98.2,-2452854.741897955,-4768551.750057431
32.869545,-117.22045,98.2,-2452854.6862031487,-4768551.846392534
32.869544,-117.22045,98.2,-2452854.7137352685,-4768551.899917246
32.869544,-117.22045,98.2,-2452854.7137352685,-4768551.899917246
32.869544,-117.22045,98.3,-2452854.752153971,-4768551.974606373
32.869543,-117.22045,98.3,-2452854.7796860905,-4768552.0281310845
32.869542,-117.22045,98.3,-2452854.807218209,-4768552.081655794
32.869541,-117.220451,98.3,-2452854.9179772604,-4768552.092370111
32.86954,-117.220451,98.3,-2452854.945509379,-4768552.145894817
32.86954,-117.220451,98.3,-2452854.945509379,-4768552.145894817
32.869539,-117.220451,98.3,-2452854.9730414962,-4768552.199419523
32.869537,-117.220451,98.3,-2452855.0281057293,-4768552.306468929
32.869536,-117.220451,98.3,-2452855.055637845,-4768552.359993631
32.869536,-117.220452,98.3,-2452855.138864784,-4768552.317183233
32.869535,-117.220453,98.4,-2452855.2880425495,-4768552.402586666
32.869535,-117.220453,98.4,-2452855.2880425495,-4768552.402586666
32.869535,-117.220455,98.5,-2452855.4929151414,-4768552.391654992
32.869549,-117.220485,95.3,-2452856.3748729913,-4768547.967945298
32.869547999999995,-117.220484,95.3,-2452856.31917827,-4768548.0642803935
32.869545,-117.220481,95.3,-2452856.1520940885,-4768548.353285671
32.869553,-117.220489,95.4,-2452856.636070593,-4768547.6572939865
32.869557,-117.220493,95.5,-2452856.897268144,-4768547.346642632
32.869557,-117.220493,95.5,-2452856.897268144,-4768547.346642632
32.869557,-117.220492,95.6,-2452856.8524600435,-4768547.464142147
32.869557,-117.220492,95.7,-2452856.8908787956,-4768547.538831237
32.869558000000005,-117.220492,95.7,-2452856.863346637,-4768547.485306546
32.869558000000005,-117.220492,95.8,-2452856.9017653884,-4768547.559995634
32.869558000000005,-117.220492,95.8,-2452856.9017653884,-4768547.559995634
32.869557,-117.220491,95.8,-2452856.8460706905,-4768547.656330754
32.869557,-117.220489,95.9,-2452856.7180357245,-4768547.816640697
32.869557,-117.220489,96.0,-2452856.756454472,-4768547.891329787
32.869558000000005,-117.220488,96.1,-2452856.6841142,-4768547.955304607
32.869558000000005,-117.220488,96.2,-2452856.722532946,-4768548.029993698
32.869558000000005,-117.220488,96.2,-2452856.722532946,-4768548.029993698
32.869558000000005,-117.220487,96.2,-2452856.6393060824,-4768548.072804123
32.869558000000005,-117.220486,96.1,-2452856.517660473,-4768548.040925455
32.869558000000005,-117.220484,96.1,-2452856.351206743,-4768548.126546297
32.869557,-117.220484,96.1,-2452856.378738896,-4768548.180070995
32.869557,-117.220483,96.1,-2452856.2955120313,-4768548.222881413
32.869557,-117.220483,96.2,-2452856.3339307713,-4768548.297570507
32.869556,-117.220482,96.1,-2452856.239817313,-4768548.319216528
32.869556,-117.22048,96.1,-2452856.0733635738,-4768548.40483736
32.869555,-117.220479,96.1,-2452856.017668849,-4768548.50117247
32.869555,-117.220479,96.1,-2452856.017668849,-4768548.50117247
32.869554,-117.220478,96.1,-2452855.9619741202,-4768548.597507579
32.869554,-117.220477,96.1,-2452855.878747248,-4768548.6403179895
32.869554,-117.220476,96.0,-2452855.757101641,-4768548.608439299
32.869553,-117.220475,96.0,-2452855.7014069073,-4768548.704774403
32.869552,-117.220474,95.9,-2452855.607293439,-4768548.726420399
32.869552,-117.220473,95.9,-2452855.5240665623,-4768548.769230804
32.869551,-117.220473,95.8,-2452855.513179969,-4768548.74806639
32.869551,-117.220472,95.8,-2452855.4299530922,-4768548.790876795
32.86955,-117.220471,95.8,-2452855.374258351,-4768548.887211888
32.86955,-117.22047,95.7,-2452855.252612746,-4768548.855333182
32.869549,-117.220468,95.6,-2452855.0752723925,-4768548.919789557
32.869549,-117.220467,95.6,-2452854.992045513,-4768548.962599955
32.869549,-117.220467,95.5,-2452854.95362679,-4768548.887910843
32.869549,-117.220467,95.5,-2452854.95362679,-4768548.887910843
32.869551,-117.220467,95.5,-2452854.8985625333,-4768548.780861464
32.869552,-117.220467,95.5,-2452854.871030404,-4768548.727336773
32.869553,-117.220468,95.6,-2452854.965143871,-4768548.705690793
